date,country,country_name,rgdpmad,debtgdp,year,gov_revenue_gdp
1960,CAN,Canada,8752.507627924268,0.6612025015631332,1960,
1961,CAN,Canada,8832.745004192922,0.6865386839480004,1961,
1962,CAN,Canada,9276.909344428053,0.6792083011840443,1962,
1963,CAN,Canada,9566.381691293434,0.6663331853574115,1963,
1964,CAN,Canada,9999.364316051508,0.6321603705631217,1964,
1965,CAN,Canada,10472.916686595814,0.5942858442668356,1965,
1966,CAN,Canada,10946.135109398754,0.5816733635313608,1966,
1967,CAN,Canada,11078.269992166579,0.581189577236621,1967,
1968,CAN,Canada,11479.064091831378,0.5740182975091627,1968,
1969,CAN,Canada,11912.352219241327,0.5547046206719948,1969,
1970,CAN,Canada,12050.490515258263,0.5783426367359605,1970,
1971,CAN,Canada,12561.925689172991,0.5900380832017474,1971,
1972,CAN,Canada,13072.494334627207,0.577782652697601,1972,
1973,CAN,Canada,13837.895343425165,0.5333536181143088,1973,
1974,CAN,Canada,14204.68902324402,0.5045328403284655,1974,
1975,CAN,Canada,14316.26251658825,0.5083494474006666,1975,
1976,CAN,Canada,14902.391835866907,0.4365866299749812,1976,
1977,CAN,Canada,15222.680741624783,0.45150165239412543,1977,
1978,CAN,Canada,15680.200363616697,0.48022659676102847,1978,
1979,CAN,Canada,16170.145282140635,0.4527896995708154,1979,
1980,CAN,Canada,16175.706391578196,0.4563178663072744,1980,36.903
1981,CAN,Canada,16472.449799196787,0.46932890355905743,1981,38.94
1982,CAN,Canada,15779.405521012304,0.5266845731086246,1982,39.501
1983,CAN,Canada,16076.413304368663,0.5840257224976494,1983,38.972
1984,CAN,Canada,16835.824728229152,0.6167393648520737,1984,38.819
1985,CAN,Canada,17582.068954883274,0.6686944356084424,1985,38.712
1986,CAN,Canada,17862.103969653257,0.7099854407413845,1986,39.485
1987,CAN,Canada,18348.154593083917,0.7144908373457096,1987,39.682
1988,CAN,Canada,18993.076728586937,0.7108355166126499,1988,40.251
1989,CAN,Canada,19108.487068697887,0.7224708709375305,1989,40.535
1990,CAN,Canada,18872.38850546588,0.7518991176916141,1990,42.179
1991,CAN,Canada,18262.46376863137,0.8233953487693455,1991,43.078
1992,CAN,Canada,18146.724685223868,0.902315555047967,1992,43.308
1993,CAN,Canada,18309.1076884394,0.9632376399920791,1993,42.543
1994,CAN,Canada,18941.768399849854,0.9796179137160075,1994,42.076
1995,CAN,Canada,19237.797708562295,1.016010098392697,1995,42.245
1996,CAN,Canada,19330.596623229223,1.0171927577240745,1996,42.811
1997,CAN,Canada,19961.8228974183,0.9631791266441836,1997,43.502
1998,CAN,Canada,20612.3873465468,0.951645567683418,1998,43.549
1999,CAN,Canada,21563.04067519223,0.9136915092102222,1999,43.429
2000,CAN,Canada,22487.70818622514,0.8212687062792537,2000,43.197
2001,CAN,Canada,22686.64558523288,0.8265914473019219,2001,41.632
2002,CAN,Canada,23155.136569813305,0.8055399187270418,2002,40.16
2003,CAN,Canada,23406.980270190852,0.7656183155768953,2003,40.149
2004,CAN,Canada,23952.908626048553,0.7260071608622163,2004,39.902
2005,CAN,Canada,24484.344653524106,0.7160815084671124,2005,40.074
2006,CAN,Canada,24967.16720744424,0.7025527352704934,2006,40.488
2007,CAN,Canada,25300.08385970836,0.6651826078770181,2007,40.339
2008,CAN,Canada,25262.071135439153,0.7111408254117143,2008,38.96
2009,CAN,Canada,24361.021416833475,0.8330140583458961,2009,39.539
2010,CAN,Canada,24941.23562562982,0.8395317516594774,2010,38.326
2011,CAN,Canada,25470.997020197392,0.8177793009605633,2011,38.267
2012,CAN,Canada,25645.574336158857,0.8540521814513018,2012,38.402
2013,CAN,Canada,25966.337119654458,0.8612908838862671,2013,38.466
2014,CAN,Canada,26441.103335942946,0.8557941308277416,2014,38.545
2015,CAN,Canada,26402.305924722383,0.911923036151285,2015,39.957
2016,CAN,Canada,26389.803801027017,0.9173260397870192,2016,40.3
2017,CAN,Canada,26862.50104274103,0.8884123961000466,2017,40.343
2018,CAN,Canada,27137.2663834969,0.8883185847054099,2018,41.022
2019,CAN,Canada,27251.07653688964,0.8682055574212624,2019,40.572
2020,CAN,Canada,25505.010962201755,1.17459527734755,2020,41.413
1960,DEU,Germany,7705.233225059704,0.17,1960,
1961,DEU,Germany,7952.160374714721,0.17,1961,
1962,DEU,Germany,8222.121781035159,0.17,1962,
1963,DEU,Germany,8385.523537313431,0.18,1963,
1964,DEU,Germany,8822.353557426793,0.18,1964,
1965,DEU,Germany,9185.729169788685,0.18,1965,
1966,DEU,Germany,9387.59908596906,0.19,1966,
1967,DEU,Germany,9396.681113862554,0.22,1967,
1968,DEU,Germany,9864.450072541535,0.22,1968,
1969,DEU,Germany,10440.360485849507,0.2,1969,
1970,DEU,Germany,10839.145088003876,0.18,1970,
1971,DEU,Germany,11076.768851250534,0.18,1971,
1972,DEU,Germany,11480.848986690156,0.18,1972,
1973,DEU,Germany,11966.464437971166,0.18,1973,
1974,DEU,Germany,12063.031524512842,0.19,1974,
1975,DEU,Germany,12040.607595161939,0.24,1975,
1976,DEU,Germany,12683.847116890714,0.25,1976,
1977,DEU,Germany,13071.902449071224,0.26,1977,
1978,DEU,Germany,13455.319912719066,0.28,1978,
1979,DEU,Germany,13993.30072560787,0.29,1979,
1980,DEU,Germany,14114.030434326825,0.3,1980,
1981,DEU,Germany,14148.598317156628,0.34,1981,
1982,DEU,Germany,14039.640843244217,0.37,1982,
1983,DEU,Germany,14328.856704328653,0.38,1983,
1984,DEU,Germany,14783.183629779824,0.39,1984,
1985,DEU,Germany,15139.761961741166,0.39,1985,
1986,DEU,Germany,15469.014161441866,0.39,1986,
1987,DEU,Germany,15701.373182413234,0.41,1987,
1988,DEU,Germany,16160.114781678136,0.41,1988,
1989,DEU,Germany,16558.120973976776,0.39,1989,
1990,DEU,Germany,15928.845099962591,0.41,1990,
1991,DEU,Germany,16649.52350172438,0.44,1991,43.328
1992,DEU,Germany,16890.560511864,0.411883,1992,44.721
1993,DEU,Germany,16644.680242702154,0.44894300000000004,1993,45.211
1994,DEU,Germany,17027.786172939646,0.47293999999999997,1994,45.771
1995,DEU,Germany,17298.81910831468,0.5490240000000001,1995,45.804
1996,DEU,Germany,17420.220809056824,0.577939,1996,45.918
1997,DEU,Germany,17708.525215602687,0.588666,1997,45.726
1998,DEU,Germany,18028.880735795392,0.5953470000000001,1998,45.641
1999,DEU,Germany,18380.04362314571,0.601394,1999,46.62
2000,DEU,Germany,18943.516375383148,0.590658,2000,46.342
2001,DEU,Germany,19156.68989625507,0.579365,2001,44.528
2002,DEU,Germany,19140.37834615822,0.597035,2002,44.158
2003,DEU,Germany,19087.572240241872,0.633089,2003,44.684
2004,DEU,Germany,19283.670487293424,0.649877,2004,43.551
2005,DEU,Germany,19417.057021603057,0.6734650000000001,2005,43.496
2006,DEU,Germany,20040.620318052523,0.6670470000000001,2006,43.554
2007,DEU,Germany,20546.93610742278,0.639942,2007,43.695
2008,DEU,Germany,20801.437443847575,0.655222,2008,44.155
2009,DEU,Germany,19789.8454371839,0.729901,2009,45.117
2010,DEU,Germany,20661.445435680802,0.8238160000000001,2010,43.695
2011,DEU,Germany,21432.681417956832,0.79801,2011,44.435
2012,DEU,Germany,21483.78039850607,0.811354,2012,45.029
2013,DEU,Germany,21517.887790133365,0.787169,2013,45.273
2014,DEU,Germany,21903.314593546904,0.756694,2014,45.229
2015,DEU,Germany,22037.585410165313,0.72207,2015,45.421
2016,DEU,Germany,22347.948539301782,0.6927679999999999,2016,45.852
2017,DEU,Germany,22861.229874936176,0.6465770000000001,2017,45.904
2018,DEU,Germany,23040.320451191405,0.612715,2018,46.573
2019,DEU,Germany,23229.87496788937,0.5892499999999999,2019,46.892
2020,DEU,Germany,22152.35037955646,0.687242,2020,46.749
1960,FRA,France,7397.582861068177,0.285,1960,
1961,FRA,France,7718.426413172637,0.2631,1961,
1962,FRA,France,8067.063153735782,0.2361,1962,
1963,FRA,France,8362.67136621652,0.2217,1963,
1964,FRA,France,8819.336669570679,0.1959,1964,
1965,FRA,France,9165.415043572548,0.1759,1965,
1966,FRA,France,9544.135790185856,0.1531,1966,
1967,FRA,France,9907.186574531095,0.1605,1967,
1968,FRA,France,10267.018066387114,0.1583,1968,
1969,FRA,France,10885.56440645036,0.1439,1969,
1970,FRA,France,11410.088986478679,0.2102,1970,
1971,FRA,France,11844.961092462618,0.2006,1971,
1972,FRA,France,12263.545959844218,0.1771,1972,
1973,FRA,France,12824.42390264939,0.1583,1973,
1974,FRA,France,13112.534922704413,0.1542,1974,
1975,FRA,France,12957.205078305997,0.1609,1975,
1976,FRA,France,13466.38601155856,0.151,1976,
1977,FRA,France,13912.703666924124,0.1499,1977,
1978,FRA,France,14240.210981282737,0.1724,1978,
1979,FRA,France,14634.38252243052,0.1982,1979,
1980,FRA,France,14766.158591907095,0.21024500000000002,1980,47.613
1981,FRA,France,14839.906857524504,0.22240400000000002,1981,48.23
1982,FRA,France,15131.64084241521,0.255791,1982,49.169
1983,FRA,France,15245.114341397128,0.26921900000000004,1983,50.008
1984,FRA,France,15381.929381644917,0.29345,1984,50.806
1985,FRA,France,15530.270844397239,0.30958800000000003,1985,51.179
1986,FRA,France,15833.036579991185,0.315277,1986,50.177
1987,FRA,France,16157.8901191458,0.33842500000000003,1987,50.764
1988,FRA,France,16789.572963059996,0.33715200000000006,1988,49.447
1989,FRA,France,17299.70080074713,0.34435000000000004,1989,49.084
1990,FRA,France,17647.005226241236,0.355535,1990,49.156
1991,FRA,France,17724.135385347323,0.363396,1991,49.836
1992,FRA,France,17879.522485037523,0.400874,1992,49.368
1993,FRA,France,17666.018468576247,0.46488500000000005,1993,50.14
1994,FRA,France,17978.199665246746,0.497684,1994,50.424
1995,FRA,France,18261.961310969225,0.561059,1995,50.942
1996,FRA,France,18373.417686711593,0.599984,1996,52.121
1997,FRA,France,18690.444261468547,0.61425,1997,51.857
1998,FRA,France,19233.28587051337,0.613474,1998,51.587
1999,FRA,France,19771.39216905727,0.604965,1999,52.112
2000,FRA,France,20391.877068945985,0.588824,2000,51.306
2001,FRA,France,20648.034421101213,0.583439,2001,51.405
2002,FRA,France,20719.525661469477,0.60258,2002,50.749
2003,FRA,France,20789.046927320785,0.644127,2003,50.266
2004,FRA,France,21193.399751471257,0.659391,2004,50.445
2005,FRA,France,21450.00068291843,0.6738299999999999,2005,50.756
2006,FRA,France,21841.591885557165,0.646108,2006,51.092
2007,FRA,France,22202.17253075663,0.645355,2007,50.641
2008,FRA,France,22057.35045104924,0.687783,2008,50.78
2009,FRA,France,21244.207306860604,0.830389,2009,50.612
2010,FRA,France,21477.477402452558,0.852569,2010,50.559
2011,FRA,France,21842.23668701559,0.878344,2011,51.709
2012,FRA,France,21818.118066179795,0.90604,2012,52.721
2013,FRA,France,21841.280960321226,0.9341320000000001,2013,53.654
2014,FRA,France,21940.470687708923,0.948887,2014,53.82
2015,FRA,France,22075.0075993006,0.955797,2015,53.708
2016,FRA,France,22243.41154401061,0.979568,2016,53.616
2017,FRA,France,22726.543640919506,0.981321,2017,54.3
2018,FRA,France,23071.73251827475,0.977815,2018,54.048
2019,FRA,France,23443.58862098411,0.9745910000000001,2019,52.953
2020,FRA,France,21525.949965130512,1.150422,2020,52.766
1960,GBR,UK,8645.23027571985,1.179443546328597,1960,
1961,GBR,UK,8856.666729789611,1.137516613637279,1961,
1962,GBR,UK,8865.383171958267,1.1052126306049272,1962,
1963,GBR,UK,9149.18414918415,1.0855433082323838,1963,
1964,GBR,UK,9567.965031208905,1.0108108108108107,1964,
1965,GBR,UK,9751.536338546459,0.9460615480261112,1965,
1966,GBR,UK,9885.310103764434,0.9194929428680418,1966,
1967,GBR,UK,10048.890991466365,0.8914785081117244,1967,
1968,GBR,UK,10409.950374904916,0.8854834114630546,1968,
1969,GBR,UK,10551.684967815221,0.8283739639200389,1969,
1970,GBR,UK,10767.471958584987,0.7323539180302461,1970,
1971,GBR,UK,10941.474233995743,0.6555450998843341,1971,
1972,GBR,UK,11293.924642022861,0.6204161833699773,1972,
1973,GBR,UK,12025.280199252802,0.5456218471233931,1973,
1974,GBR,UK,11858.903671030164,0.5160144042183782,1974,
1975,GBR,UK,11847.087076403095,0.4667777969771201,1975,
1976,GBR,UK,12114.952140340889,0.48884433921504244,1976,
1977,GBR,UK,12383.613093860695,0.5045863978183621,1977,
1978,GBR,UK,12827.834849644809,0.51626111676186,1978,
1979,GBR,UK,13167.283204097603,0.487397833538087,1979,
1980,GBR,UK,12931.49128103136,0.42568,1980,36.203
1981,GBR,UK,12747.426302481243,0.44778,1981,37.624
1982,GBR,UK,12954.64740105841,0.4305,1982,38.6
1983,GBR,UK,13404.466833690942,0.41852,1983,37.249
1984,GBR,UK,13720.057238973992,0.42241999999999996,1984,37.127
1985,GBR,UK,14164.54610577419,0.41305000000000003,1985,36.951
1986,GBR,UK,14741.815746318507,0.41274,1986,35.982
1987,GBR,UK,15393.437392618882,0.39335000000000003,1987,34.822
1988,GBR,UK,16109.99642527258,0.37079999999999996,1988,34.555
1989,GBR,UK,16413.722920989137,0.32539,1989,34.241
1990,GBR,UK,16429.911584495658,0.28559,1990,33.505
1991,GBR,UK,16155.29227957883,0.28498,1991,33.124
1992,GBR,UK,16133.494698974384,0.33241,1992,32.416
1993,GBR,UK,16458.296159635553,0.37994,1993,31.174
1994,GBR,UK,17117.9416871969,0.4079,1994,31.767
1995,GBR,UK,17585.527396276437,0.43738,1995,32.643
1996,GBR,UK,18044.003183377976,0.43845999999999996,1996,32.069
1997,GBR,UK,19115.072462085736,0.43267000000000005,1997,32.778
1998,GBR,UK,19724.085413065444,0.40929000000000004,1998,34.057
1999,GBR,UK,20269.481542579528,0.39431,1999,34.539
2000,GBR,UK,21045.72001977542,0.36734,2000,35.287
2001,GBR,UK,21567.35402910252,0.33999,2001,34.996
2002,GBR,UK,22008.006231145475,0.34215000000000007,2002,33.983
2003,GBR,UK,22762.765048987072,0.35398,2003,33.996
2004,GBR,UK,23306.55958095741,0.38391,2004,34.869
2005,GBR,UK,23810.431674391606,0.39592,2005,35.284
2006,GBR,UK,24285.282650144403,0.40515999999999996,2006,35.608
2007,GBR,UK,25002.119099661428,0.41547,2007,35.938
2008,GBR,UK,24602.13363468245,0.49327,2008,35.786
2009,GBR,UK,23489.35501271381,0.63193,2009,34.555
2010,GBR,UK,23777.155757682725,0.74273,2010,35.475
2011,GBR,UK,23967.740310562956,0.79975,2011,36.091
2012,GBR,UK,24150.282061037648,0.8316100000000001,2012,36.062
2013,GBR,UK,24523.87833989095,0.8415600000000001,2013,36.463
2014,GBR,UK,25034.193108199277,0.8606100000000001,2014,35.611
2015,GBR,UK,25423.86029158919,0.8672,2015,35.805
2016,GBR,UK,25649.813255197038,0.86775,2016,36.296
2017,GBR,UK,25941.298227075255,0.8631399999999999,2017,36.652
2018,GBR,UK,26109.672726731733,0.8577500000000001,2018,36.599
2019,GBR,UK,26341.025966169807,0.85243,2019,36.253
2020,GBR,UK,23646.774125758013,1.0447,2020,36.812
1960,ITA,Italy,5456.190048020658,0.31205364776739786,1960,
1961,ITA,Italy,5852.674923067569,0.29492217836411166,1961,
1962,ITA,Italy,6203.007071305134,0.28448674423244463,1962,
1963,ITA,Italy,6531.85997605379,0.26580297960650856,1963,
1964,ITA,Italy,6727.938954228743,0.2646747728939415,1964,
1965,ITA,Italy,6963.939320707315,0.27546236489631315,1965,
1966,ITA,Italy,7366.023311500068,0.32215459925498635,1966,
1967,ITA,Italy,7872.313760270947,0.3179700909537514,1967,
1968,ITA,Italy,8382.405286376828,0.3419836551388285,1968,
1969,ITA,Italy,8879.374046834757,0.3481523716051608,1969,
1970,ITA,Italy,9366.596349734822,0.3572882316201894,1970,
1971,ITA,Italy,9489.247577700971,0.40387467415077966,1971,
1972,ITA,Italy,9795.126255935349,0.45913834450897306,1972,
1973,ITA,Italy,10413.549673699683,0.48755960107368257,1973,
1974,ITA,Italy,10913.877946399141,0.483308743843726,1974,
1975,ITA,Italy,10618.982479498884,0.5452843288541445,1975,
1976,ITA,Italy,11307.66354481134,0.5414944390849535,1976,
1977,ITA,Italy,11541.917805039184,0.5319514184472184,1977,
1978,ITA,Italy,11869.490233584993,0.5724803951179501,1978,
1979,ITA,Italy,12532.28816899758,0.5609292676279145,1979,
1980,ITA,Italy,12927.017997410425,0.5401107501731375,1980,
1981,ITA,Italy,13018.322193490614,0.5627516593080703,1981,
1982,ITA,Italy,13064.013264836063,0.6077468742769281,1982,
1983,ITA,Italy,13208.597189546079,0.6678356488158163,1983,
1984,ITA,Italy,13634.094930693087,0.7207357626396069,1984,
1985,ITA,Italy,14009.772723763488,0.778403816862373,1985,
1986,ITA,Italy,14408.105278189445,0.818838524643858,1986,
1987,ITA,Italy,14867.919366683249,0.8573021670651578,1987,
1988,ITA,Italy,15484.703010161711,0.8738156645994803,1988,37.705
1989,ITA,Italy,15996.877351064415,0.897711133404574,1989,38.499
1990,ITA,Italy,16313.127512539457,0.91580877944842,1990,43.027
1991,ITA,Italy,16562.94803045034,0.9479407041566734,1991,44.235
1992,ITA,Italy,16634.007458221156,1.0141493780309536,1992,46.69
1993,ITA,Italy,16440.83834679536,1.1118033315474776,1993,48.011
1994,ITA,Italy,16761.739574123065,1.171308884394672,1994,46.224
1995,ITA,Italy,17216.59526877699,1.1682749011911706,1995,44.248
1996,ITA,Italy,17378.120436215133,1.1616577199675664,1996,44.741
1997,ITA,Italy,17675.65493183744,1.1344760846819155,1997,46.344
1998,ITA,Italy,17908.53958560993,1.1035482878700869,1998,45.018
1999,ITA,Italy,18140.51642093767,1.093568298215505,1999,45.302
2000,ITA,Italy,18761.37160268521,1.0488658988582051,2000,43.948
2001,ITA,Italy,19062.439916661428,1.0453446590352495,2001,43.951
2002,ITA,Italy,19100.471045688388,1.0164529144965664,2002,43.613
2003,ITA,Italy,19006.708489859055,1.0015686612764791,2003,43.742
2004,ITA,Italy,19210.519703975657,0.9969548736562398,2004,43.206
2005,ITA,Italy,19283.733171442167,1.0150090646753502,2005,42.955
2006,ITA,Italy,19629.60635333147,1.0211856609420804,2006,43.954
2007,ITA,Italy,19841.538671196064,0.992961773906488,2007,45.274
2008,ITA,Italy,19460.4958473145,1.0616400000000001,2008,45.167
2009,ITA,Italy,18278.625580046355,1.1661,2009,45.996
2010,ITA,Italy,18520.425122909404,1.19198,2010,45.637
2011,ITA,Italy,18551.197642275638,1.19692,2011,45.502
2012,ITA,Italy,17951.283874349927,1.2649299999999999,2012,47.495
2013,ITA,Italy,17570.474942178338,1.3245500000000001,2013,48.026
2014,ITA,Italy,17549.695961443445,1.35366,2014,47.899
2015,ITA,Italy,17701.075746228515,1.3528,2015,47.785
2016,ITA,Italy,17969.303621967574,1.34784,2016,46.575
2017,ITA,Italy,18298.50837697321,1.34135,2017,46.274
2018,ITA,Italy,18510.573909341612,1.344,2018,46.129
2019,ITA,Italy,18601.359196772417,1.3456299999999999,2019,46.974
2020,ITA,Italy,17000.999643522366,1.5581200000000002,2020,47.405
1960,JPN,Japan,3986.4328857788614,0.0803498075608791,1960,
1961,JPN,Japan,4426.284224205285,0.0606295238661828,1961,
1962,JPN,Japan,4776.516828341152,0.05735480634875139,1962,
1963,JPN,Japan,5128.644256070067,0.045163066271169644,1963,
1964,JPN,Japan,5667.690457819473,0.044382378773474736,1964,
1965,JPN,Japan,5933.747612090928,0.05232810015015414,1965,
1966,JPN,Japan,6505.531579279223,0.06706165662020862,1966,
1967,JPN,Japan,7152.293622713407,0.08221281332489332,1967,
1968,JPN,Japan,7983.313409311386,0.08709909549201958,1968,
1969,JPN,Japan,8874.088897385178,0.11963314653542653,1969,
1970,JPN,Japan,9713.95143300291,0.106419,1970,
1971,JPN,Japan,10040.324215724026,0.11794700000000001,1971,
1972,JPN,Japan,10733.599560840017,0.156052,1972,
1973,JPN,Japan,11433.802064833166,0.152812,1973,
1974,JPN,Japan,11144.520200748892,0.160718,1974,
1975,JPN,Japan,11343.781059229359,0.203204,1975,
1976,JPN,Japan,11668.967903931694,0.25947,1976,
1977,JPN,Japan,12063.85497573237,0.309279,1977,
1978,JPN,Japan,12584.878299706463,0.39128700000000005,1978,
1979,JPN,Japan,13163.097132670082,0.436755,1979,
1980,JPN,Japan,13427.729937687376,0.48714599999999997,1980,26.324
1981,JPN,Japan,13754.451708405097,0.531128,1981,27.657
1982,JPN,Japan,14078.37040258014,0.58117,1982,27.918
1983,JPN,Japan,14306.872890504885,0.6429389999999999,1983,27.893
1984,JPN,Japan,14772.586962917898,0.661719,1984,28.576
1985,JPN,Japan,15331.250840808323,0.6831520000000001,1985,29.034
1986,JPN,Japan,15679.381063001287,0.7429810000000001,1986,29.035
1987,JPN,Japan,16251.293857282653,0.764093,1987,30.28
1988,JPN,Japan,17184.63784427426,0.7236190000000001,1988,30.389
1989,JPN,Japan,17942.5136567634,0.656758,1989,30.42
1990,JPN,Japan,18789.07116387426,0.629799,1990,31.418
1991,JPN,Japan,19347.1030845286,0.624362,1991,30.973
1992,JPN,Japan,19440.299298858994,0.669336,1992,30.868
1993,JPN,Japan,19417.435610722492,0.726271,1993,29.747
1994,JPN,Japan,19536.819448437403,0.834323,1994,29.022
1995,JPN,Japan,19871.714456558704,0.942299,1995,29.109
1996,JPN,Japan,20343.360449417913,0.9919410000000001,1996,28.939
1997,JPN,Japan,20617.43761502919,1.048312,1997,29.555
1998,JPN,Japan,20154.49399706678,1.1604590000000001,1998,28.586
1999,JPN,Japan,20070.399088282407,1.290302,1999,28.818
2000,JPN,Japan,20480.951264994896,1.356473,2000,28.669
2001,JPN,Japan,20499.90795272704,1.444434,2001,28.994
2002,JPN,Japan,20516.849232535595,1.542849,2002,28.056
2003,JPN,Japan,20832.997849900727,1.6006970000000003,2003,27.605
2004,JPN,Japan,21301.17824873966,1.689246,2004,28.364
2005,JPN,Japan,21575.023474075475,1.7429320000000001,2005,29.081
2006,JPN,Japan,21938.170592300474,1.740333,2006,30.028
2007,JPN,Japan,22410.065610134494,1.72809,2007,30.222
2008,JPN,Japan,22175.1244681219,1.807147,2008,29.998
2009,JPN,Japan,20963.200296560124,1.987026,2009,28.993
2010,JPN,Japan,21934.903391345688,2.056931,2010,28.669
2011,JPN,Japan,21869.04677661825,2.190945,2011,29.641
2012,JPN,Japan,22218.193228700202,2.2609280000000003,2012,30.442
2013,JPN,Japan,22702.703762553305,2.2962610000000003,2013,31.167
2014,JPN,Japan,22808.11785153788,2.335278,2014,32.773
2015,JPN,Japan,23189.97882270277,2.283968,2015,33.617
2016,JPN,Japan,23367.994774838386,2.325199,2016,33.63
2017,JPN,Japan,23799.611471881875,2.314161,2017,33.587
2018,JPN,Japan,23980.04135550288,2.325092,2018,34.267
2019,JPN,Japan,24035.72845588844,2.348592,2019,34.249
2020,JPN,Japan,23001.358814399202,2.539057,2020,35.461
1960,USA,USA,11328.475516269904,0.5429999999999999,1960,
1961,USA,USA,11401.734434457867,0.534,1961,
1962,USA,USA,11904.984507178162,0.516,1962,
1963,USA,USA,12242.340495238901,0.501,1963,
1964,USA,USA,12772.566431634954,0.47700000000000004,1964,
1965,USA,USA,13418.701718450051,0.45399999999999996,1965,
1966,USA,USA,14133.526658526658,0.42,1966,
1967,USA,USA,14330.030395748621,0.406,1967,
1968,USA,USA,14862.938825944417,0.41,1968,
1969,USA,USA,15179.408615679135,0.37200000000000005,1969,
1970,USA,USA,15029.846087821626,0.363,1970,
1971,USA,USA,15304.298833194485,0.365,1971,
1972,USA,USA,15943.867439112702,0.35700000000000004,1972,
1973,USA,USA,16689.34306707124,0.344,1973,
1974,USA,USA,16491.26974477915,0.326,1974,
1975,USA,USA,16283.63267630676,0.336,1975,
1976,USA,USA,16975.08656867017,0.35100000000000003,1976,
1977,USA,USA,17566.502753826528,0.348,1977,
1978,USA,USA,18372.97212300919,0.341,1978,
1979,USA,USA,18789.393703761303,0.32299999999999995,1979,
1980,USA,USA,18577.36665413365,0.325,1980,
1981,USA,USA,18855.55486999598,0.317,1981,
1982,USA,USA,18325.12026308355,0.34299999999999997,1982,
1983,USA,USA,18920.156391092147,0.387,1983,
1984,USA,USA,20122.667101821073,0.396,1984,
1985,USA,USA,20717.322960076497,0.426,1985,
1986,USA,USA,21236.08546335124,0.46799999999999997,1986,
1987,USA,USA,21787.69367412788,0.49200000000000005,1987,
1988,USA,USA,22499.441620233243,0.506,1988,
1989,USA,USA,23059.278193599523,0.516,1989,
1990,USA,USA,23200.560312401587,0.544,1990,
1991,USA,USA,22832.790045888927,0.591,1991,
1992,USA,USA,23284.981879676943,0.624,1992,
1993,USA,USA,23640.11257957278,0.642,1993,
1994,USA,USA,24312.78895848798,0.647,1994,
1995,USA,USA,24637.32985625143,0.6509999999999999,1995,
1996,USA,USA,25263.10164908837,0.652,1996,
1997,USA,USA,26074.239422588977,0.635,1997,
1998,USA,USA,26893.450858320128,0.613,1998,
1999,USA,USA,27869.81202767119,0.591,1999,
2000,USA,USA,28701.934318309348,0.556,2000,
2001,USA,USA,28726.09431927397,0.5479999999999999,2001,32.257
2002,USA,USA,28976.93019268436,0.5720000000000001,2002,29.877
2003,USA,USA,29458.922506871182,0.599,2003,29.266
2004,USA,USA,30199.800860551808,0.612,2004,29.476
2005,USA,USA,30841.645496424466,0.616,2005,30.853
2006,USA,USA,31357.539587735886,0.62,2006,31.656
2007,USA,USA,31654.926754922406,0.626,2007,31.649
2008,USA,USA,31251.266490333088,0.677,2008,30.532
2009,USA,USA,29898.64421649179,0.823,2009,28.222
2010,USA,USA,30491.34438076369,0.912,2010,28.77
2011,USA,USA,30745.45820562164,0.958,2011,29.08
2012,USA,USA,31224.222253421813,1.0,2012,29.109
2013,USA,USA,31581.707325592328,1.0070000000000001,2013,31.222
2014,USA,USA,32072.18365577019,1.026,2014,31.298
2015,USA,USA,32703.493039904108,1.001,2015,31.501
2016,USA,USA,33012.76787083851,1.052,2016,30.977
2017,USA,USA,33543.679861697616,1.046,2017,30.4
2018,USA,USA,34338.77075550321,1.054,2018,30.014
2019,USA,USA,34961.83505132533,1.068,2019,30.011
2020,USA,USA,33646.26175527241,1.281,2020,30.646
